"SEQN","self_eval","teacher_eval","extracurricular","district","SRP_1","SRP_2","SRP_3","SRP_4","SRP_5","SRP_6","SRP_7","SRP_8","SRP_9","SRP_10","SRP_11","SRP_12","SRP_13","SRP_14","SRP_15","SRP_16","SRP_17","SRP_18","SRP_19","SRP_20","SRP_21","SRP_22","SRP_23","SRP_24","SRP_25","SRP_26","SRP_27","SRP_28","SRP_29","SRP_30","SRP_31","SRP_32","SRP_33","SRP_34","SRP_35","SRP_36","SRP_37","SRP_38","SRP_39","SRP_40","SRP_41","SRP_42","SRP_43","SRP_44","SRP_45","SRP_46","SRP_47","SRP_48","SRP_49","SRP_50","y"
732756,5,5,4,3,0.212,0.563,-0.883,-1.038,2.215,0.05,-1.802,1.074,2.288,0.622,-1.069,-0.794,-0.616,1.396,-0.455,-1.437,0.939,-0.124,0.951,-0.042,-0.006,-0.476,0.066,-1.092,0.817,0.748,0.291,-0.678,-0.122,0.577,0.816,0.718,0.195,0.405,0.591,-1.006,-1.137,-0.281,1.079,0.87,-1.334,0.718,0.075,1.801,-0.829,-1.959,0.825,1.243,0.251,1.362,0.266
457564,3,3,10,5,0.092,-1.351,0.978,1.193,1.035,-0.623,-0.794,-0.619,-0.729,1.079,-0.344,0.401,2.378,1.43,-0.016,0.166,0.644,-0.739,-0.111,-1.046,-0.355,-1.292,1.837,0.122,-0.67,0.316,1.463,-0.722,-0.709,-0.595,0.078,-0.557,0.844,-0.441,-0.389,-0.138,0.06,0.075,-0.345,0.838,0.489,-0.781,-0.417,1.404,1.284,0.728,1.164,0.558,0.904,-0.89,1.438
46697,4,3,9,2,-0.074,0.468,-0.872,0.192,1.116,0.186,-0.616,-2.202,-0.807,-0.679,0.544,-0.125,-1.036,0.44,-0.509,0.989,-0.469,0.893,1.093,-0.789,-0.72,0.492,-0.596,0.26,-0.334,1.594,-0.182,-0.69,-1.589,0.484,-2.093,-1.062,0.743,0.356,-0.275,0.237,0.404,1.104,0.095,0.026,0.1,-0.124,1.021,0.829,0.435,-0.571,0.869,-0.494,-2.543,-0.456,1.144
951958,5,3,1,1,-1.183,0.513,0.27,0.645,-0.651,-0.075,-1.254,-0.807,-0.311,0.004,-0.792,-0.468,-0.188,-0.009,-0.803,0.895,0.554,0.024,-0.575,-0.062,-0.618,0.053,1.716,0.21,1.35,0.107,0.155,-1.504,-1.423,-0.973,-0.63,0.791,0.527,0.929,-1.284,-0.5,-0.389,-0.208,-0.868,0.478,-1.859,0.183,-0.266,-0.421,-0.581,0.524,-2.149,1.122,0.676,0.601,-2.916
401530,5,5,9,2,-0.049,-0.263,-0.29,-0.98,1.113,0.122,-2.032,-0.817,0.298,-0.894,-0.016,0.48,-0.806,-0.267,-0.533,1.151,-0.236,0.524,-0.182,0.951,1.302,-1.197,0.869,-0.958,0.742,-0.615,1.828,0.887,-1.419,0.535,1.735,-1.505,1.557,-0.544,0.057,-1.784,-0.557,-0.08,0.067,0.5,-0.071,-0.273,-1.172,1.52,0.975,0.001,-0.23,-0.379,-1.059,-0.29,1.399
409339,4,3,8,3,0.564,0.605,-1.042,-1.604,0.776,1.197,-2.92,-0.984,-0.887,-0.15,1.873,-0.136,0.461,-1.78,-0.072,-1.233,0.412,-0.138,-0.53,-1.661,-1.551,0.304,2.144,-0.156,-1.105,0.328,-0.092,-1.058,0.331,0.915,-0.172,0.3,1.557,1.362,-0.076,0.948,-1.579,2.599,0.011,-1.354,-2.125,-2.099,0.849,-0.16,0.714,0.964,-2.043,0.527,0.56,-0.503,-0.137
403945,3,2,7,5,-1.579,-2.463,0.087,1.209,0.443,-0.627,0.433,1.044,-0.966,1.871,-1.733,0.558,-0.212,0.967,0.131,0.452,1.639,-0.101,-0.486,0.573,-1.702,0.125,-0.585,-1.806,-2.19,2.726,-1.074,-1.698,0.753,0.643,-0.019,-1.885,0.006,1.961,2.496,0.223,-0.186,0.061,2.002,0.078,-0.099,-0.281,1.1,-0.426,-0.172,-1.034,-0.876,0.229,0.073,-0.381,0.703
241004,4,4,4,7,0.495,0.293,1.186,-0.709,-1.179,1.433,0.905,-1.135,2.119,1.18,-0.893,1.123,1.346,-0.193,-0.322,1.065,1.96,-0.464,2.877,0.344,-1.57,0.144,0.769,0.183,0.654,0.106,-0.842,2.214,-0.928,-0.985,0.372,0.833,-0.729,-0.574,-1.422,0.831,-0.246,-0.083,-1.287,1.927,-0.748,1.03,0.293,-0.486,0.003,-0.519,0.069,-0.632,-0.694,0.39,0.771
654019,5,5,9,3,-0.087,-0.336,-1.221,0.125,1.378,0.25,-1.84,-1.033,-0.075,0.234,1.403,0.532,0.423,1.489,0.229,-1.326,-1.66,0.361,-0.315,1.725,-0.015,-0.664,-2.388,-0.346,-1.13,0.966,0.484,-0.329,1.198,0.709,-0.712,-2.16,1.299,0.089,-0.655,0.425,0.124,-1.391,0.056,1.037,1.206,0.196,-1.284,0.983,-0.579,-2.632,-1.509,0.782,-0.513,0.153,-0.861
586011,4,4,8,4,0.043,1.662,-0.056,-1.702,-0.14,-0.984,-2.064,-1.004,0.288,2.298,-0.569,0.836,0.749,-0.564,0.309,2.022,0.919,-0.875,-1.634,-0.474,1.271,1.417,-1.403,-0.93,-0.41,0.885,-0.196,-1.744,-1.894,-0.414,1.448,0.97,0.357,-0.189,1.272,0.209,-0.365,1.093,-0.347,0.496,0.143,-0.931,-1.021,-0.311,0.804,1.346,0.82,0.552,-0.726,1.038,1.783
692583,4,4,9,3,-0.902,0.216,-0.584,-0.052,1.272,-1.063,0.171,-0.39,2.516,-0.85,-1.148,0.57,-0.327,-0.358,-0.219,-0.333,-0.063,-0.019,-1.462,0.4,2.999,0.376,0.82,-1.458,-0.04,-0.068,-0.715,1.299,0.682,1.259,-0.879,1.582,0.031,-0.437,1.184,-0.607,0.028,0.861,0.143,-0.427,-0.491,-0.588,0.301,0.262,-0.344,-0.403,-1.192,-0.059,0.282,-0.977,-0.611
22340,3,3,3,4,-0.543,-0.616,-0.672,-1.036,1.652,0.284,1.096,-1.024,-0.681,0.354,0.401,-1.216,-1.524,1.484,-0.795,0.17,-0.048,-1.217,0.72,0.436,-0.078,0.163,1.626,-0.169,-0.335,-0.047,1.012,-1.883,-0.691,-0.339,0.68,-0.175,-0.99,0.602,0.461,0.223,0.148,0.23,-1.021,-0.885,0.498,-1.037,1.058,-1.106,-2.945,-0.739,-0.898,1.764,-0.244,1.652,0.573
715753,4,4,2,6,1.685,-0.782,-1.182,0.869,-0.653,0.326,0.292,2.179,0.318,1.25,0.536,-0.381,-0.365,-1.139,-0.946,0.37,-1.488,0.412,-0.979,0.485,-0.657,-2.01,0.071,1.411,-0.442,-0.683,-0.415,1.852,-0.105,-0.296,-0.089,-0.113,-0.656,0.292,-0.7,-0.406,-0.47,-0.377,-0.015,0.717,-0.455,-0.868,0.8,-1.646,-1.239,-0.174,-1.396,1.407,1.342,1.402,1.069
975708,5,2,5,7,0.47,0.496,-0.104,-1.23,0.223,1.439,-0.549,-0.578,0.168,-0.089,1.136,-2.292,-1.182,0.2,-0.825,0.353,-0.53,0.913,-1.033,-1.33,-1.599,-0.072,-0.464,1.284,0.622,0.262,0.607,0.73,0.539,-0.47,0.798,0.864,1.751,0.35,0.434,0.07,0.982,0.977,2.752,0.51,0.272,0.675,1.792,-0.653,0.362,0.758,-0.176,-0.191,0.781,0.003,1.514
945276,3,1,5,2,-0.643,-0.346,0.034,-0.091,-1.232,-0.529,-0.204,1.252,0.893,0.797,-0.714,1.316,0.154,1.124,-0.857,1.621,-1.32,0.851,1.205,0.004,-1.623,-0.828,-0.44,0.688,0.667,-0.254,0.567,0.038,-1.656,0.573,0.013,-1.565,0.049,1.337,0.6,-0.548,-0.011,1.509,-0.574,0.896,0.152,0.528,1.055,-0.462,-0.233,-0.005,0.568,0.796,0.444,-0.396,2.726
980641,1,1,7,3,0.47,0.911,-0.136,0.057,-1.13,1.318,0.16,-1.062,-1.703,-2.209,-0.499,2.16,-1.315,-1.99,-0.408,-0.833,0.926,0.244,-0.009,1.044,-0.272,-0.344,1.755,1.045,-1.159,-1.24,-1.885,0.518,0.353,-0.425,-0.756,-0.254,-1.351,-0.474,-1.984,-0.525,0.526,0.828,-1.833,1.115,-1.429,-0.261,0.35,-0.641,-0.915,1.123,0.349,-0.102,-0.591,-1.66,-0.463
306731,5,3,3,2,1.074,-2.634,-1.097,-1.216,-0.465,-1.218,1.505,0.071,-0.331,-0.76,-1.486,-0.309,-0.161,0.135,0.469,0.656,-0.179,-0.767,0.414,0.218,-0.855,-0.629,-1.272,-1.05,1.266,0.304,-1.637,-1.087,-0.464,0.126,-0.493,1.794,-0.889,-0.059,-0.061,-0.034,0.026,0.493,-0.877,0.263,-0.406,-0.191,1.299,-0.051,-0.233,2.058,1.348,-0.401,-1.362,0.864,1.058
14174,1,1,5,2,0.024,-0.722,0.681,-0.595,-0.382,0.044,0.292,-0.886,0.066,-0.484,-1.094,0.007,-0.581,0.596,0.205,-1.474,-0.866,0.728,-1.712,-1.105,-0.123,-0.433,0.268,-0.688,-0.535,-1.178,-0.449,0.534,0.008,0.113,-0.069,0.008,1.104,0.913,0.218,0.085,0.645,-0.76,-0.282,0.838,-0.172,0.392,-1.518,0.892,0.628,-0.656,1.245,-0.325,0.496,0.127,-0.739
403813,4,2,6,5,0.825,-1.239,-0.261,1.155,0.18,0.754,-0.299,1.204,0.681,0.572,-1.028,0.84,-1.785,-0.781,0.625,-3.488,0.422,2.021,-0.911,-0.563,0.625,0.118,-1.102,-0.773,1.048,1.12,0.928,-0.31,1.48,-1.013,0.807,0.422,2.12,1.272,0.273,-1.724,0.552,1.478,0.331,-0.434,0.506,0.034,1.353,2.048,0.147,1.245,0.212,1.283,-1.329,0.375,1.324
15656,3,3,4,7,0.612,-0.215,-0.751,-0.249,-1.263,-0.737,1.138,-0.068,0.195,-0.319,0.049,1.989,-0.728,1.433,-0.242,-0.43,-0.053,-1.396,-0.066,0.451,-1.212,0.957,0.227,-0.071,-1.151,0.022,0.649,-0.067,-0.378,1.206,-0.015,0.547,0.065,0.518,0.224,-1.696,0.953,-0.355,0.265,-0.509,-1.194,1.144,0.162,0.114,1.31,0.392,-2.182,0.006,1.352,-1.14,0.038
43972,4,5,3,7,0.231,1.786,-1.569,-0.506,-0.187,1.068,0.366,1.08,-1.338,-0.851,0.439,-1.14,-0.194,0.017,1.15,-0.437,0.83,-1.153,1.8,-0.477,0.056,1.324,-0.204,1.76,-0.342,0.807,-0.594,1.141,0.294,-0.75,-0.979,0.027,0.237,-1.507,1.416,0.507,-1.088,0.204,0.339,0.027,2.357,0.209,-2.058,-1.549,0.988,-0.621,-0.342,0.287,-0.704,-0.373,-0.137
415027,4,4,2,1,0.052,-0.029,-0.685,-0.174,-1.619,-0.684,1.796,-0.904,-0.491,-0.297,2.446,-0.49,1.966,0.548,-0.483,0.667,1.29,0.752,0.529,1.005,-0.148,0.075,-0.108,0.344,-0.743,0.117,1.954,-1.183,-0.428,-1.448,-2.39,0.139,-0.275,0.135,0.252,-1.084,1.672,0.331,-0.687,0.079,-0.009,0.036,-0.834,-0.556,0.797,-0.038,-0.069,0.833,-0.233,-0.789,-0.515
413532,2,1,1,1,-0.101,-1.65,1.268,-0.566,-0.157,-0.607,0.022,0.721,0.04,-1.653,-0.699,-1.93,0.955,-0.225,0.593,0.673,0.905,0.999,0.239,0.495,1.087,-0.04,0.793,-0.236,0.158,1.963,-0.596,-0.396,0.412,0.241,1.663,-0.084,-0.687,2.61,-0.489,0.7,-0.812,-0.737,0.693,0.625,0.156,-0.098,0.962,1.899,-0.157,-0.01,-0.905,2.583,-0.58,-0.712,0.879
991102,2,3,10,4,0.716,-0.527,-0.229,1.421,-0.597,0.947,-0.335,-0.689,0.721,0.213,-0.206,-2.929,-0.164,-0.598,-0.022,-1.539,-1.41,0.679,0.268,-1.708,-0.565,0.161,0.434,0.496,0.907,0.034,-1.006,-0.367,0.211,-0.693,-0.128,0.269,-0.187,0.417,-0.791,-0.134,0.11,0.318,-0.318,-1.638,2.356,-1.375,-0.839,1.303,1.048,0.769,1.319,0.772,-0.951,0.374,1.455
781429,4,2,1,5,0.115,0.568,-0.653,0.744,-0.206,-2.434,-0.008,0.469,-0.02,-0.077,0.394,-0.922,-0.025,1.818,0.959,-1.806,0.972,-0.636,0.035,-1.018,1.088,0.723,2.28,-1.244,1.706,-1.436,-0.439,1.395,1.534,-2.266,1.642,0.986,0.301,2.022,0.86,1.36,1.245,0.405,0.162,1,1.149,-0.87,0.018,-0.847,-0.024,0.472,-1.396,0.236,-0.98,0.874,0.775
360544,1,1,3,1,-0.234,1.081,0.154,-1.428,-1.457,0.065,1.328,-0.254,-0.363,0.239,2.383,0.056,-2.94,1.485,-0.284,-0.782,0.871,0.425,-0.046,0.673,1.433,1.262,-0.499,-1.596,-0.603,-1.41,1.093,-0.55,-0.355,-0.269,0.012,0.082,-0.211,0.635,0.638,-0.914,0.066,-2.696,-0.516,-1.647,-0.174,0.23,1.768,-0.344,1.215,-0.933,0.439,-0.658,-0.66,0.109,1.653
382595,4,2,2,4,0.054,-0.922,0.495,0.332,-0.699,-1.22,0.374,1.488,-1.17,-0.331,0.187,-0.252,-0.503,-2.002,-0.367,0.909,-0.048,0.241,0.451,-0.513,0.461,-1.548,0.711,0.025,-0.207,0.202,0.494,1.242,-0.724,0.289,0.487,1.901,-0.185,1.612,-0.249,-1.263,-0.366,0.656,-1.196,-0.818,0.09,0.64,2.15,-0.875,-1.177,1.184,-0.106,0.696,0.456,-1.477,1.555
409066,1,1,4,1,0.413,0.193,1.602,-0.938,-0.817,0.544,-1.819,0.211,2.043,0.059,-2.308,-0.987,-0.123,2.23,-1.475,1.886,0.244,-0.331,0.089,0.661,0.282,1.367,1.029,-0.418,-0.103,-0.81,0.429,-0.509,0.545,-0.876,-1.037,0.636,-0.51,0.294,-0.235,-0.486,-0.9,1.049,-0.099,-0.372,-1.033,0.755,-3.792,0.743,-1.606,0.309,-1.217,0.134,-0.191,1.755,0.474
140085,1,1,6,4,-1.012,0.577,-1.131,0.143,0.587,0.846,-0.284,0.924,-0.683,-2.299,0.335,-0.594,-1.252,-0.667,0.878,1.482,0.215,0.503,-1.141,0.261,0.208,-0.171,-0.052,0.602,-1.251,-0.393,0.074,0.71,0.639,-1.064,0.682,-0.287,-1.198,0.805,0.121,-0.572,0.675,0.618,-0.47,-0.066,-0.46,0.729,0.201,0.331,0.07,0.235,-1.213,-0.668,-1.43,-1.217,-0.593
202748,5,3,6,3,-0.29,-1.168,1.067,0.409,0.465,0.37,-1.016,-0.821,0.413,0.665,-0.254,-1.133,-1.744,-0.621,1.322,1.007,-0.432,0.32,-0.781,1.368,-1.147,0.64,-0.671,0.477,-0.131,0.888,-1.106,0.152,0.877,-0.522,0.766,0.046,0.507,1.634,-1.458,-0.222,1.106,0.374,-0.733,-0.224,-0.024,-0.303,-1.395,-0.114,0.657,-1.794,1.056,0.514,0.411,-0.932,-0.94
175421,1,1,7,5,0.396,1.145,1.153,-2.183,0.707,-1.006,-1.524,-0.24,-0.316,1.03,0.961,-1.177,1.865,-0.7,0.014,0.803,0.767,0.143,1.306,-0.441,0.839,0.349,1.317,-2.471,-0.906,-0.799,0.878,0.893,-1.017,-0.506,-1.605,-0.537,-1.302,1.333,-0.469,1.756,-2.482,-0.374,0.15,-1.083,1.47,1.662,-0.606,0.023,1.864,0.338,-0.379,-0.325,-0.276,0.941,1.005
222490,4,3,2,7,-1.365,-0.586,-0.643,-0.773,1.521,-0.028,-1.816,0.594,0.04,-0.395,1.085,-1.106,0.203,1.152,-0.875,-1.42,-0.01,-1.003,1.036,-2.858,-1.574,-0.917,-0.77,2.927,-1.411,-0.071,0.328,-1.516,-1.437,-0.289,-0.214,-1.993,-0.296,-0.18,-0.746,0.883,-1.809,1.001,-0.301,-2.259,-0.111,1.14,0.264,1.892,-0.13,-1.112,1.048,1.417,0.323,-1.166,-3.209
473716,5,5,10,5,0.057,0.036,1.073,0.737,-0.511,0.118,0.708,0.041,0.325,0.288,0.27,0.318,-1.921,-1.65,-0.651,1.813,0.417,-1.306,-0.526,0.785,-0.844,-1.411,-0.686,-0.446,-0.716,-0.572,1.632,-0.838,2.12,-1.186,-1.046,1.104,0.596,1.047,-0.846,0.232,-0.931,0.515,0.942,1.015,-1.044,-1.05,1.67,0.811,0.814,1.201,1.197,-0.516,-1.506,-0.034,-0.315
51002,3,4,8,6,1.861,0.243,-1.555,-0.213,-0.067,0.892,-2.603,0.001,0.308,-1.611,1.585,-1.038,0.355,0.009,-1.01,-1.832,0.626,-0.336,0.123,2.036,-0.583,1.315,1.139,2.424,-0.511,0.763,-0.779,0.497,-0.573,1.566,-0.069,-1.703,-0.381,-2.118,1.363,2.273,2.233,0.136,-0.008,0.537,-1.472,0.229,-0.635,-0.106,0.076,-0.327,0.71,1.397,0.916,-0.672,2.572
951001,1,1,5,3,0.316,-1.307,-0.781,-0.32,-1.3,2.41,-1.288,-0.565,0.037,-1.256,-0.973,-0.316,1.18,0.893,-1.443,-0.41,-1.058,-0.283,1.338,-1.11,1.634,0.114,1.095,1.16,-1.694,0.192,0.039,-1.6,-0.913,0.439,1.441,-1.018,0.38,-1.25,0.688,0.096,0.011,-0.113,0.527,-0.51,1,-0.813,0.659,0.426,-4.496,-0.15,0.953,0.624,0.483,-0.419,-0.156
536589,5,4,1,2,-0.25,0.194,0.387,0.634,0.024,-0.416,-1.824,0.439,-0.544,0.719,-0.633,-2.609,0.662,0.089,-2.208,1.369,-0.332,0.385,-0.856,1.047,0.128,-0.277,0.684,0.588,0.477,-0.061,0.282,-0.278,-0.02,0.768,-1.031,-0.714,-0.011,-0.628,-0.264,0.065,-0.401,-0.532,0.05,-0.896,0.952,1.796,2.204,-1.817,-0.245,0.318,-1.503,-0.049,0.327,0.858,1.802
264683,1,1,9,7,0.457,0.4,-0.382,-1.01,-1.023,-1.052,0.132,-0.877,1.07,0.12,-1.365,0.362,-1.079,-1.379,-0.63,-0.86,0.792,-0.168,-0.151,-2.26,0.523,0.303,-0.947,-1.185,-0.124,-0.046,-1.383,-1.346,0.518,-0.155,0.883,0.56,1.031,0.086,-0.806,-0.397,0.224,2.302,0.247,1.491,0.559,-0.225,0.413,-0.614,0.905,0.32,0.336,-1.483,0.295,1.537,0.577
840430,5,5,5,6,0.478,-0.426,-0.211,1.316,-0.787,-0.383,1.898,-1.69,-0.909,-0.355,-0.508,0.633,-0.638,0.711,0.583,0.102,2.033,-0.512,-0.785,1.44,-0.038,-1.786,1.961,0.581,-0.989,0.675,0.615,-0.737,0.572,-1.797,0.714,0.414,-0.626,0.914,0.345,-0.073,0.681,1.89,1.496,0.665,-0.609,-0.052,-0.055,-1.86,0.881,-0.135,-1.175,-0.464,-2.076,-1.56,2.334
263199,2,2,1,2,-0.696,1.423,-0.682,-0.441,0.526,-0.65,-0.548,-0.68,0.698,1.012,-0.459,0.749,0.819,0.11,0.749,-1.289,1.25,0.722,0.458,-1.54,1.523,-0.356,-0.242,-0.472,-0.009,-1.555,-0.272,-1.278,-1.536,0.151,1.194,0.567,0.883,-0.364,0.624,-1.318,-0.462,0.717,1.305,-2.558,-0.146,0.65,0.257,0.302,0.061,0.189,0.408,-0.761,-0.643,0.402,-0.001
661111,4,3,9,5,0.545,-1.698,0.772,1.967,-0.005,-0.566,0.636,-0.27,0.434,0.875,0.213,1.462,1.302,-0.897,-1.19,-0.397,1.961,0.924,-0.599,0.681,1.144,0.069,-0.82,-0.596,0.16,1.1,-0.51,-1.069,1.246,0.301,-1.937,-1.002,-0.184,0.47,-0.924,-0.832,0.452,0.005,2.206,-0.08,-0.709,-0.705,-0.685,-1.502,-0.71,-0.048,-0.729,-0.849,1.305,1.065,0.405
972293,5,4,9,7,0.067,-0.191,-0.462,0.959,0.151,-1.717,0.997,-1.068,-1.21,-0.637,-0.012,-0.109,1.115,-0.989,-0.235,0.116,0.243,-1.625,0.339,0.276,-1.706,1.446,0.812,-0.444,-0.407,-0.159,-1.615,-0.725,0.717,-0.107,1.203,0.743,0.95,-2.006,0.023,0.256,-1.905,1.765,-1.738,0.189,0.138,-0.731,-0.097,-1.692,-0.152,-1.367,-1.089,1.353,-0.693,-0.493,-2.02
514646,5,4,1,7,0.313,0.998,1.364,0.587,-0.081,-0.087,0.024,2.023,-0.043,-0.421,-1.038,-1.398,-0.011,-0.435,-2.182,-1.922,-0.546,-0.244,0.231,0.709,0.624,1.055,-0.555,1.52,-0.173,-0.405,-1.423,0.664,-0.261,0.027,1.7,-1.014,0.839,0.614,0.765,-1.292,-1.421,0.388,0.045,0.228,-0.839,-1.869,-1.064,-1.585,1.706,-0.672,-0.382,1.747,0.648,1.072,-1.32
22262,5,5,5,1,-0.607,0.557,-0.902,1.27,-0.889,1.399,0.491,0.172,0.905,-0.288,0.417,0.173,-0.201,-0.147,-0.251,0.258,0.448,-0.113,0.311,0.064,-0.558,-0.222,-1.055,1.488,-2.376,0.684,-0.54,0.879,-0.435,0.887,-1.246,0.748,-0.564,-0.478,-0.012,0.081,0.425,-0.978,-0.379,-0.435,2.23,-0.33,-1.134,0.366,0.752,0.542,-0.157,-1.059,-0.033,1.009,-0.56
107428,1,1,4,2,0.562,-0.107,-0.28,-0.282,0.608,0.011,1.533,-0.215,0.29,0.215,0.186,1.32,-0.24,-0.736,-1.084,-1.352,1.784,-0.434,0.838,0.321,-1.187,2.109,0.008,-1.982,-0.089,-0.828,-1.292,0.725,-0.515,0.669,1.733,-1.607,-0.624,-1.016,-0.939,0.955,0.844,0.337,-1.057,-0.053,-1.389,-0.07,-0.452,1.697,1.766,2.926,0.257,-0.863,0.872,-0.352,0.137
675750,5,4,10,1,-0.716,-0.643,-0.819,-1.739,-1.161,-0.62,0.059,0.325,-1.806,0.494,0.173,0.719,1.553,0.917,-1.995,2.06,0.33,-0.55,-0.703,0.446,1.111,0.189,0.557,1.036,-1.084,-0.328,-1.546,-0.693,-0.542,-1.947,0.095,0.758,0.748,0.171,0.964,-0.886,-0.539,0.071,-0.265,0.22,-1.435,-2.542,1.242,1.526,-0.452,-0.718,0.96,-1.251,-1.041,-1.898,-2.564
311899,3,4,3,1,-0.42,-0.571,0.254,-0.532,-0.303,-0.315,-0.767,-1.108,0.988,0.45,0.592,0.987,-1.314,0.998,-1.929,-0.803,0.551,0.515,-0.06,-1.739,0.314,1.738,-0.089,-0.307,0.245,0.321,-0.602,1.501,0.251,0.757,-1.261,0.411,-0.095,0.323,-0.679,-0.799,0.612,-0.551,0.52,-0.741,0.855,-1.073,0.026,0.757,0.215,0.452,0.408,0.684,-1.536,0.212,-0.215
831507,5,5,7,2,1.025,-0.732,0.484,-0.662,0.38,-0.043,-0.911,0.178,1.226,2.157,0.33,-0.875,0.78,-0.417,0.332,-1.822,-2.564,1.69,0.425,0.613,-0.7,0.608,-0.125,0.332,-1.092,-0.297,0.8,-0.317,-0.144,-0.756,1.474,-0.258,-0.652,0.463,0.887,1.085,-0.008,-0.913,-0.72,-0.748,0.841,-0.04,0.039,-0.176,0.213,1.01,-0.29,0.723,-0.441,0.912,3.394
780321,1,1,3,6,-0.196,0.163,-0.44,0.355,-1.2,0.479,0.841,-0.452,1.162,0.43,1.076,0.403,0.215,-1.076,1.085,0.808,0.502,-0.697,-0.103,1.057,-0.074,-0.424,-1.176,-0.305,-0.534,0.455,-0.355,-0.62,2.3,2.35,0.348,-1.339,-0.594,0.603,0.234,-1.364,-0.35,0.179,0.884,0.093,0.477,-0.913,-1.159,-0.253,1.086,-0.119,-1.265,1.183,0.199,-1.313,0.111
640031,4,4,1,5,-0.223,-0.184,-1.412,0.219,-0.913,1.022,-0.501,1.424,0.516,-1,0.393,0.418,-0.372,-0.907,-0.014,-1.267,0.173,-0.033,-1.719,0.837,0.131,-0.086,1.731,0.84,0.648,-0.893,0.366,-0.631,0.895,0.706,-0.809,0.113,1.04,-0.261,-0.463,-1.602,0.397,-0.376,-0.448,1.076,1.342,1.728,1.15,-1.826,0.449,0.093,0.468,0.12,-0.078,0.204,-0.666
230858,3,3,2,2,-0.518,0.812,-1.094,-0.612,1.176,-0.219,0.6,-0.17,0.414,-0.971,1.629,-0.696,-0.21,0.004,-1.636,-0.42,0.803,-0.124,-1.43,-1.489,0.315,-0.491,-0.023,-1.632,-1.607,-2.2,-0.34,0.671,-0.707,-1.285,-1.597,0.268,-2.296,-0.459,-0.607,1.145,0.324,-0.604,-0.512,-0.741,-0.959,0.913,-0.07,-0.241,0.427,-0.499,0.302,0.78,-0.798,-3.174,-2.208
931100,5,4,1,1,-0.591,0.851,-0.353,0.319,1.306,-0.863,-1.598,0.67,0.045,1.234,-1.156,0.905,-0.534,-0.171,-0.93,0.939,0.705,-0.733,1.607,0.966,-0.662,-1.04,-0.897,-0.614,-1.126,1.202,-0.5,0.802,-1.016,-1.002,0.256,0.589,-0.42,0.144,0.426,-1.619,0.754,-0.457,-0.566,-0.35,-1.683,0.21,-2.169,0.64,0.569,1.393,1.643,-0.768,1.065,-1.11,-1.291
232154,2,2,7,5,-0.763,0.025,-0.553,-0.736,-1.231,1.514,-1.821,0.377,-0.435,0.98,-0.561,-0.426,-0.444,-0.129,-0.393,-0.883,0.303,-1.141,1.605,-0.505,-1.881,0.836,-1.948,-0.176,1.748,-0.934,-0.947,-1.293,1.279,1.587,0.249,-1.479,0.319,-1.589,0.737,0.36,0.035,0.286,-0.439,-0.838,-0.426,-0.15,-0.563,-0.156,0.508,-0.008,-0.428,-0.37,-1.152,0.935,-0.952
480598,2,2,10,7,0.921,0.809,-0.236,-0.497,-2.075,-0.572,-0.243,-1.472,1.39,0.716,0.876,0.872,-0.884,-0.944,0.413,-2.047,0.401,-0.022,-0.129,-2.821,-0.609,-0.17,0.564,-0.473,1.133,-0.315,1.444,-1.16,-1.368,1.146,-0.551,-0.505,-0.806,0.428,0.454,1.426,-1.252,-0.559,-0.519,-0.823,-0.522,-1.38,-0.157,-0.108,-1.903,0.352,-0.654,-0.522,-0.418,-0.286,-1.105
879739,5,3,10,5,0.634,1.854,-0.048,1.447,0.692,1.348,0.37,-0.687,-1.127,0.142,0.405,-0.468,-0.322,0.046,-0.26,-0.18,-0.268,-0.079,2.052,0.807,-1.042,-0.513,0.484,0.76,-0.212,0.525,-0.122,-1.596,0.984,-1.12,0.811,-0.442,-0.163,-1.246,-0.449,0.285,0.321,1.364,0.216,1,-0.469,1.242,-0.051,0.456,0.265,0.401,0.578,-1.557,0.32,-1.124,0.416
998802,5,5,5,7,-0.871,-0.154,0.077,1.112,0.378,0.438,-0.268,-2.891,-0.694,-1.39,0.526,1.558,1.083,-0.036,1.949,-1.693,-0.336,0.586,-0.951,0.128,-0.224,-0.051,-1.027,-0.179,-0.622,-0.193,-0.243,0.174,0.494,1.539,0.464,1.493,1.12,-0.412,0.059,1.016,0.383,0.793,-0.503,-0.904,-0.844,-0.185,1.229,-0.541,-0.829,0.075,1.666,-0.337,0.099,-2.659,-1.266
629574,4,4,6,6,-0.931,-0.564,-1.143,0.607,-0.281,-0.433,-0.76,1.135,0.395,-0.99,-0.459,0.063,1.39,-0.16,-0.919,1.784,1.081,0.725,-2.185,1.041,0.071,0.021,0,0.915,0.462,0.108,1.38,0.02,-0.565,-0.429,1.096,0.175,-2.2,-0.273,-0.641,0.687,0.339,-0.426,-0.356,0.842,-0.305,-0.149,1.86,0.224,0.803,-0.654,-0.459,-0.539,1.204,1.669,3.131
